data,type
Bill Finger,E
painted by,R
comic characters,R
Selwyn Lloyd,E
winston churchill,E
prime minister,R
Gestapo,E
parent organisation,R
leaders,R
Mumbai North,E
in power,R
party,R
Roberto Clemente Bridge,E
municipality,R
Li Si,E
succeed,R
monarch,R
PAvel Moroz,E
Yakov Estrin,E
home town,R
death location,R
"Broadmeadows, Victoria",E
assembles,R
company,R
cars,R
ASC Creative Services,E
designed by,R
designed,R
car,R
Ernest Rutherford,E
Charles Drummond Ellis,E
supervisor,R
students doctoral,R
scientist,R
REP Parasol,E
designer,R
born,R
Monroe Carell Jr. Children's Hospital at Vanderbilt,E
Duncan U. Fletcher,E
affiliation,R
alma mater,R
Josef Johansson,E
Nader Guirat,E
hometown,R
HBO,E
@@@,R
shows,R
Stanislav Morozov,E
Nikolai Morozov,E
former coach,R
MSX Basic,E
outlook,E
license,R
share holder,R
Ronaldo,E
chaired,R
grounds,R
2nd Foreign Infantry Regiment,E
battle,R
SR class 3Sub,E
operator,R
Kevin Jonas,E
Joe Jonas,E
former member,R
band,R
O.co Coliseum,E
tenants,R
Rishikesh,E
politician,E
airtours,E
north america,E
destinations,R
National Medal of Science,E
winner,R
PhDs under,R
William Harper,E
military branch,R
mascot,R
Jonas brothers,E
part of,R
Cosmos,E
lead to,R
about,R
book,R
"Rosemont, Illinois",E
held in,R
kind of,R
conventions,R
Greenup County High School,E
type,R
Bobby Hoppe,E
teams,R
The Second Coming,E
writer,R
famous works,R
Miguel de Cervantes,E
penned,R
books,R
progressive rock,E
signs,R
labels,R
bands,R
"Reading, Berkshire",E
city,R
Crystal Harris,E
married,R
editor,R
magazine's,R
west thurrock,E
Essex,E
county,R
Niederkirchnerstrae,E
headquartered,R
headed,R
Steven Moffat,E
executive producer,R
television shows,R
Ford Falcon Cobra,E
Dagenham wind turbines,E
company parent,R
shareholder,R
San Francisco International Airport,E
hub,R
airlines,R
maritime museum of San Diego,E
run by,R
of,R
"Trinity School, Brentwood",E
Sarah Walker (badminton),E
authority local,R
place of birth,R
21Vianet,E
services,R
Elmer Burkett,E
successor,R
died,R
office holder,R
Steve Ontiveros,E
Hensley Meulens,E
debut team,R
team,R
Lucy Sullivan Is Getting Married,E
actors of,R
Faaa,E
Society Islands,E
largest city,R
archipelago,R
island,R
Richard Winn,E
governor,R
appointed,R
Arthur Levinson,E
Sherlock,E
work for,R
development,R
Fremantle Media,E
Who,R
produced,R
TV shows,R
South Loop Printing House District,E
style of architecture,R
Outlook,E
Visual Studio,E
service,R
products,R
Ombla,E
Croatia,E
originate,R
Newin Chidchob,E
nationality,R
Dave Bing,E
Ron Reed,E
Ganymede,E
Galileo Galilei,E
discovered,R
guitar,E
list,R
musicians associated,R
Elizabeth: The Golden Age,E
producer,R
awards,R
OneDrive,E
"Washington, D.C.",E
foundation place,R
affiliations's,R
university,R
queen noor of Jordan,E
presidents,R
schools,R
Robert Witherspoon,E
He's a Liar,E
previous work,R
song,R
"Oj, svijetla majska zoro",E
anthem,R
currency,R
Allen Walker,E
voice,R
Publius Servilius Vatia Isauricus,E
Marcus Calpurnius Bibulus,E
associated,R
saima chowdhury,E
edmund john,E
citizenship,R
Cathedral Peak,E
Mount Hoffmann,E
person that first ascented,R
Indiana,E
campuses,R
swedish covenant hospital,E
Where,R
Girl from the North Country,E
Moondog Matinee,E
composer,R
subsequent work,R
April Stewart,E
Mona Marshall,E
vocals,R
television show,R
Freedom of the City,E
Trinity House,E
boards,R
Reza Amrollahi,E
Iran,E
Roh Tae Woo,E
Lee Leffingwell,E
war,R
Rosemarie DeWitt,E
star,R
movies,R
Sapindales,E
order,R
things,R
Lewis Hamilton,E
made,R
Giorgos Kaminis,E
mayor,R
Michael hahn,E
mater alma,R
Berlin,E
party leaders,R
India,E
religions,R
The Simpsons Ride,E
cast members,R
Which,R
american football team,R
Playboy Enterprises,E
Gwo Ka,E
Western Africa,E
Send It On,E
opening theme,R
artists,R
show,R
One Drive,E
product,R
Roundhead,E
commander,R
Michigan Stadium,E
stadium,R
player,R
David Johnston,E
leader,R
country's,R
Francois Marie Le Marchand de Lignery,E
fought,R
wars,R
marchand,R
Myntdu river,E
originates,R
town,R
London,E
editors,R
